Vertices at crash:
(262, 107)
(258, 105)
(255, 102)
(248, 101)
(252, 102)
(250, 102)
(247, 100)
(241, 97)
(255, 102)
(258, 105)
(262, 107)
(261, 107)
(252, 105)
(255, 104)
(257, 105)
(255, 102)
(257, 105)
(255, 104)
(257, 105)
(258, 105)
(261, 107)
(252, 102)
(255, 102)
(255, 104)
(257, 105)
(255, 102)
(258, 105)
(252, 105)
(252, 102)
(255, 104)
(252, 102)
(248, 101)
(247, 100)
(252, 102)
(247, 100)
(255, 102)
(247, 100)
(242, 100)
(241, 97)
(252, 102)
(250, 104)
(250, 102)
(252, 105)
(250, 104)
(252, 102)
(250, 104)
(252, 105)
(251, 105)
(250, 102)
(249, 103)
(248, 101)
(247, 101)
(247, 100)
(248, 101)
(263, 108)
(261, 107)
(262, 107)
(263, 108)
(252, 105)
(261, 107)
(247, 100)
(247, 101)
(242, 100)
(236, 96)
(241, 97)
(242, 100)
(249, 103)
(250, 102)
(250, 104)
(249, 103)
(247, 101)
(248, 101)
(249, 103)
(250, 104)
(242, 100)
(249, 103)
(242, 100)
(247, 101)
(251, 105)
(242, 100)
(250, 104)
(252, 105)
(257, 105)
(261, 107)
(252, 105)
(263, 108)
(251, 105)
