Vertices at crash:
(274, 197)
(306, 130)
(315, 181)
(456, 80)
(414, 163)
(371, 119)
(383, 183)
(362, 152)
(364, 152)
(362, 151)
(364, 152)
(362, 152)
(362, 151)
(306, 130)
(371, 119)
(364, 152)
(414, 163)
(383, 183)
(265, 285)
(301, 246)
(285, 286)
(371, 119)
(364, 152)
(362, 151)
(383, 183)
(346, 325)
(301, 246)
(610, 147)
(604, 199)
(577, 173)
(362, 152)
(334, 189)
(315, 181)
(456, 80)
(577, 173)
(454, 170)
(306, 130)
(362, 152)
(315, 181)
(371, 119)
(244, 95)
(456, 80)
(610, 147)
(613, 202)
(605, 199)
(301, 246)
(346, 325)
(285, 286)
(244, 95)
(274, 197)
(161, 127)
(362, 152)
(306, 130)
(362, 151)
(334, 189)
(362, 152)
(383, 183)
(274, 197)
(315, 181)
(301, 246)
(274, 197)
(144, 291)
(161, 127)
(306, 130)
(274, 197)
(244, 95)
(306, 130)
(244, 95)
(371, 119)
(414, 163)
(364, 152)
(371, 119)
(383, 183)
(454, 170)
(384, 331)
(334, 189)
(383, 183)
(301, 246)
(334, 189)
(301, 246)
(315, 181)
(272, 368)
(265, 285)
(285, 286)
(301, 246)
(265, 285)
(274, 197)
(346, 325)
(272, 368)
(285, 286)
(223, 320)
(265, 285)
(272, 368)
(265, 285)
(144, 291)
(274, 197)
(223, 320)
(272, 368)
(144, 291)
(223, 320)
(144, 291)
(265, 285)
(346, 325)
(383, 183)
(384, 331)
(346, 325)
(384, 331)
(272, 368)
(414, 163)
(456, 80)
(454, 170)
(414, 163)
(454, 170)
(383, 183)
(577, 173)
(605, 203)
(520, 229)
(610, 147)
(577, 173)
(456, 80)
(577, 173)
(520, 229)
(454, 170)
(520, 229)
(613, 202)
(384, 331)
(520, 229)
(384, 331)
(454, 170)
(604, 199)
(610, 147)
(605, 199)
(608, 202)
(605, 199)
(613, 202)
(605, 200)
(604, 199)
(605, 199)
(605, 203)
(608, 202)
(613, 202)
(605, 203)
(577, 173)
(604, 199)
(605, 203)
(613, 202)
(520, 229)
(605, 200)
(605, 203)
(604, 199)
(605, 200)
(605, 199)
(608, 202)
(605, 200)
(608, 202)
(605, 203)
