Vertices at crash:
(141, 63)
(145, 62)
(143, 63)
(141, 63)
(142, 67)
(140, 63)
(149, 66)
(150, 64)
(150, 66)
(146, 66)
(143, 63)
(146, 64)
(145, 62)
(146, 64)
(143, 63)
(148, 64)
(145, 62)
(150, 64)
(143, 63)
(142, 67)
(141, 63)
(148, 64)
(146, 64)
(145, 62)
(140, 63)
(145, 62)
(141, 63)
(150, 66)
(142, 67)
(149, 66)
(149, 66)
(142, 67)
(146, 66)
(147, 65)
(146, 66)
(146, 64)
(149, 66)
(148, 64)
(150, 64)
(147, 65)
(149, 66)
(146, 66)
(142, 67)
(143, 63)
(146, 66)
(148, 64)
(149, 66)
(147, 65)
(148, 64)
(147, 65)
(146, 64)
